242	362+648	0	133483	1	54236at6656_38123_0:001a4e|TCONS_00002867|+|69|2.734e-13|1|362|1009|362[362]:1009[1009]:648[648]
248	670+720	0	138077	1	104595at6656_29053_0:001bdb|TCONS_00010137|+|62|3.5e-11|1|670|1389|670[670]:1389[1389]:720[720]
250	1961+1059	0	49757	1	105000at6656_41427_0:000a6d|TCONS_00004706|+|658|1.349e-190|1|1961|3019|1961[1961]:3019[3019]:1059[1059]
251	12147+753	0	27695	1	86488at6656_224129_0:00078d|TCONS_00004985|+|65|4.375e-12|1|12147|12899|12147[12147]:12899[12899]:753[753]
254	1543+3627	0	66016	1	106116at6656_535359_0:001b58|TCONS_00002923|+|1118|0|1|1543|5169|1543[1543]:5169[5169]:3627[3627]
256	103+1535	0	66211	1	38819at6656_62324_0:00074b|TCONS_00027540|+|946|2.713e-277|2|103|1637|103[103]:1491[1491]:1389[1389]|1572[1572]:1637[1637]:66[66]
262	179+870	0	80161	1	67191at6656_246812_0:002a5c|TCONS_00019637|+|228|3.742e-61|1|179|1048|179[179]:1048[1048]:870[870]
265	664+747	0	144243	1	23429at6656_43151_0:001cc8|TCONS_00023970|+|133|1.482e-32|1|664|1410|664[664]:1410[1410]:747[747]
268	124+393	0	101563	1	149753at6656_30069_0:00225a|TCONS_00015717|+|244|5.709e-66|1|124|516|124[124]:516[516]:393[393]
280	550+153	0	75145	1	137711at6656_29031_0:001f45|TCONS_00024001|+|43|1.835e-05|1|550|702|550[550]:702[702]:153[153]
281	499+915	0	93208	1	158760at6656_7165_0:000cb6|TCONS_00015805|+|575|1.305e-165|1|499|1413|499[499]:1413[1413]:915[915]
283	440+969	0	103692	1	78777at6656_7165_0:000ccb|TCONS_00028081|+|685|1.005e-198|1|440|1408|440[440]:1408[1408]:969[969]
285	1497+2079	0	41764	1	20162at6656_79782_0:000f89|TCONS_00028848|+|107|9.947e-25|1|1497|3575|1497[1497]:3575[3575]:2079[2079]
289	1439+705	0	79903	1	58027at6656_199890_0:001813|TCONS_00015863|+|89|2.608e-19|1|1439|2143|1439[1439]:2143[2143]:705[705]
289	2438+534	0	161055	1	4136at6656_6973_0:004e1a|TCONS_00015863|+|49|2.867e-07|1|2438|2971|2438[2438]:2971[2971]:534[534]
293	393+3402	0	124161	1	42842at6656_6832_0:00222a|TCONS_00014080|+|165|3.451e-42|1|393|3794|393[393]:3794[3794]:3402[3402]
296	523+1575	0	110940	1	101491at6656_139723_0:002d31|TCONS_00026688|+|489|1.01e-139|1|523|2097|523[523]:2097[2097]:1575[1575]
297	1010+1179	0	167450	1	4227at6656_7536_0:002af2|TCONS_00018608|+|172|2.696e-44|1|1010|2188|1010[1010]:2188[2188]:1179[1179]
299	12742+5523	0	10767	1	4864at6656_112268_0:002859|TCONS_00022078|+|187|8.228e-49|1|12742|18264|12742[12742]:18264[18264]:5523[5523]
299	787+1845	0	36877	1	4864at6656_1049336_0:0034d0|TCONS_00022078|+|113|1.554e-26|1|787|2631|787[787]:2631[2631]:1845[1845]
299	18358+1962	0	89493	1	4864at6656_1155016_0:002b86|TCONS_00022078|+|133|1.482e-32|1|18358|20319|18358[18358]:20319[20319]:1962[1962]
299	20500+774	0	90727	1	75704at6656_28612_0:0052c4|TCONS_00022078|+|173|1.348e-44|1|20500|21273|20500[20500]:21273[21273]:774[774]
299	13255+5010	0	133089	1	4864at6656_315563_0:0004ca|TCONS_00022078|+|207|7.847e-55|1|13255|18264|13255[13255]:18264[18264]:5010[5010]
299	21427+1635	0	157041	1	4864at6656_76194_0:002bc4|TCONS_00022078|+|108|4.974e-25|1|21427|23061|21427[21427]:23061[23061]:1635[1635]
303	5757+417	0	21697	1	79993at6656_13249_0:0023f8|TCONS_00029349|+|49|2.867e-07|1|5757|6173|5757[5757]:6173[6173]:417[417]
307	144+1305	0	35547	1	67191at6656_7165_0:000df4|TCONS_00014161|+|869|4.101e-254|1|144|1448|144[144]:1448[1448]:1305[1305]
